state,period,group,population,population_thousands,proxy
AC,1970,immigrant,23652.0,23.652,Proxy: previous state of residence
AC,1970,emigrant,26944.0,26.944,Proxy: previous state of residence
AC,1970,stayer,149978.0,149.978,Proxy: previous state of residence
AL,1970,immigrant,97018.0,97.018,Proxy: previous state of residence
AL,1970,emigrant,281536.0,281.536,Proxy: previous state of residence
AL,1970,stayer,1213875.0,1213.875,Proxy: previous state of residence
AM,1970,immigrant,56770.0,56.77,Proxy: previous state of residence
AM,1970,emigrant,66657.0,66.657,Proxy: previous state of residence
AM,1970,stayer,720754.0,720.754,Proxy: previous state of residence
AP,1970,immigrant,34635.0,34.635,Proxy: previous state of residence
AP,1970,emigrant,6569.0,6.569,Proxy: previous state of residence
AP,1970,stayer,56933.0,56.933,Proxy: previous state of residence
BA,1970,immigrant,250079.0,250.079,Proxy: previous state of residence
BA,1970,emigrant,836384.0,836.384,Proxy: previous state of residence
BA,1970,stayer,5960549.0,5960.549,Proxy: previous state of residence
CE,1970,immigrant,140562.0,140.562,Proxy: previous state of residence
CE,1970,emigrant,500959.0,500.959,Proxy: previous state of residence
CE,1970,stayer,3462075.0,3462.075,Proxy: previous state of residence
DF,1970,immigrant,398544.0,398.544,Proxy: previous state of residence
DF,1970,emigrant,24360.0,24.36,Proxy: previous state of residence
DF,1970,stayer,45940.0,45.94,Proxy: previous state of residence
ES,1970,immigrant,181751.0,181.751,Proxy: previous state of residence
ES,1970,emigrant,323265.0,323.265,Proxy: previous state of residence
ES,1970,stayer,1167607.0,1167.607,Proxy: previous state of residence
GO,1970,immigrant,509526.0,509.526,Proxy: previous state of residence
GO,1970,emigrant,206229.0,206.229,Proxy: previous state of residence
GO,1970,stayer,1931388.0,1931.388,Proxy: previous state of residence
MA,1970,immigrant,288129.0,288.129,Proxy: previous state of residence
MA,1970,emigrant,213522.0,213.522,Proxy: previous state of residence
MA,1970,stayer,2190157.0,2190.157,Proxy: previous state of residence
MG,1970,immigrant,361709.0,361.709,Proxy: previous state of residence
MG,1970,emigrant,2228435.0,2228.435,Proxy: previous state of residence
MG,1970,stayer,9389024.0,9389.024,Proxy: previous state of residence
MS,1970,immigrant,0.0,0.0,Proxy: previous state of residence
MS,1970,emigrant,0.0,0.0,Proxy: previous state of residence
MS,1970,stayer,0.0,0.0,Proxy: previous state of residence
MT,1970,immigrant,407901.0,407.901,Proxy: previous state of residence
MT,1970,emigrant,115232.0,115.232,Proxy: previous state of residence
MT,1970,stayer,905615.0,905.615,Proxy: previous state of residence
PA,1970,immigrant,145720.0,145.72,Proxy: previous state of residence
PA,1970,emigrant,118011.0,118.011,Proxy: previous state of residence
PA,1970,stayer,1632107.0,1632.107,Proxy: previous state of residence
PB,1970,immigrant,107806.0,107.806,Proxy: previous state of residence
PB,1970,emigrant,484105.0,484.105,Proxy: previous state of residence
PB,1970,stayer,1869742.0,1869.742,Proxy: previous state of residence
PE,1970,immigrant,265698.0,265.698,Proxy: previous state of residence
PE,1970,emigrant,672329.0,672.329,Proxy: previous state of residence
PE,1970,stayer,4048901.0,4048.901,Proxy: previous state of residence
PI,1970,immigrant,104535.0,104.535,Proxy: previous state of residence
PI,1970,emigrant,259164.0,259.164,Proxy: previous state of residence
PI,1970,stayer,1270982.0,1270.982,Proxy: previous state of residence
PR,1970,immigrant,1432863.0,1432.863,Proxy: previous state of residence
PR,1970,emigrant,417748.0,417.748,Proxy: previous state of residence
PR,1970,stayer,4290521.0,4290.521,Proxy: previous state of residence
RJ,1970,immigrant,1686948.0,1686.948,Proxy: previous state of residence
RJ,1970,emigrant,351389.0,351.389,Proxy: previous state of residence
RJ,1970,stayer,5989469.0,5989.469,Proxy: previous state of residence
RN,1970,immigrant,83750.0,83.75,Proxy: previous state of residence
RN,1970,emigrant,220355.0,220.355,Proxy: previous state of residence
RN,1970,stayer,1201459.0,1201.459,Proxy: previous state of residence
RO,1970,immigrant,42882.0,42.882,Proxy: previous state of residence
RO,1970,emigrant,6609.0,6.609,Proxy: previous state of residence
RO,1970,stayer,46265.0,46.265,Proxy: previous state of residence
RR,1970,immigrant,7280.0,7.28,Proxy: previous state of residence
RR,1970,emigrant,4269.0,4.269,Proxy: previous state of residence
RR,1970,stayer,26099.0,26.099,Proxy: previous state of residence
RS,1970,immigrant,100301.0,100.301,Proxy: previous state of residence
RS,1970,emigrant,548075.0,548.075,Proxy: previous state of residence
RS,1970,stayer,5660526.0,5660.526,Proxy: previous state of residence
SC,1970,immigrant,265419.0,265.419,Proxy: previous state of residence
SC,1970,emigrant,372430.0,372.43,Proxy: previous state of residence
SC,1970,stayer,2172611.0,2172.611,Proxy: previous state of residence
SE,1970,immigrant,44100.0,44.1,Proxy: previous state of residence
SE,1970,emigrant,187260.0,187.26,Proxy: previous state of residence
SE,1970,stayer,700771.0,700.771,Proxy: previous state of residence
SP,1970,immigrant,2448615.0,2448.615,Proxy: previous state of residence
SP,1970,emigrant,1014357.0,1014.357,Proxy: previous state of residence
SP,1970,stayer,12606976.0,12606.976,Proxy: previous state of residence
TO,1970,immigrant,0.0,0.0,Proxy: previous state of residence
TO,1970,emigrant,0.0,0.0,Proxy: previous state of residence
TO,1970,stayer,0.0,0.0,Proxy: previous state of residence
AC,1980,immigrant,33395.0,33.395,Proxy: state of birth
AC,1980,emigrant,39903.0,39.903,Proxy: state of birth
AC,1980,stayer,211154.0,211.154,Proxy: state of birth
AL,1980,immigrant,141404.0,141.404,Proxy: state of birth
AL,1980,emigrant,568629.0,568.629,Proxy: state of birth
AL,1980,stayer,1509597.0,1509.597,Proxy: state of birth
AM,1980,immigrant,111752.0,111.752,Proxy: state of birth
AM,1980,emigrant,97067.0,97.067,Proxy: state of birth
AM,1980,stayer,1044187.0,1044.187,Proxy: state of birth
AP,1980,immigrant,46509.0,46.509,Proxy: state of birth
AP,1980,emigrant,13533.0,13.533,Proxy: state of birth
AP,1980,stayer,94447.0,94.447,Proxy: state of birth
BA,1980,immigrant,439561.0,439.561,Proxy: state of birth
BA,1980,emigrant,1870621.0,1870.621,Proxy: state of birth
BA,1980,stayer,7442923.0,7442.923,Proxy: state of birth
CE,1980,immigrant,195153.0,195.153,Proxy: state of birth
CE,1980,emigrant,1078899.0,1078.899,Proxy: state of birth
CE,1980,stayer,4282301.0,4282.301,Proxy: state of birth
DF,1980,immigrant,770549.0,770.549,Proxy: state of birth
DF,1980,emigrant,44615.0,44.615,Proxy: state of birth
DF,1980,stayer,219543.0,219.543,Proxy: state of birth
ES,1980,immigrant,317304.0,317.304,Proxy: state of birth
ES,1980,emigrant,512588.0,512.588,Proxy: state of birth
ES,1980,stayer,1415315.0,1415.315,Proxy: state of birth
GO,1980,immigrant,866949.0,866.949,Proxy: state of birth
GO,1980,emigrant,385402.0,385.402,Proxy: state of birth
GO,1980,stayer,2409458.0,2409.458,Proxy: state of birth
MA,1980,immigrant,441890.0,441.89,Proxy: state of birth
MA,1980,emigrant,484907.0,484.907,Proxy: state of birth
MA,1980,stayer,2842932.0,2842.932,Proxy: state of birth
MG,1980,immigrant,624729.0,624.729,Proxy: state of birth
MG,1980,emigrant,3946599.0,3946.599,Proxy: state of birth
MG,1980,stayer,10923304.0,10923.304,Proxy: state of birth
MS,1980,immigrant,475697.0,475.697,Proxy: state of birth
MS,1980,emigrant,103985.0,103.985,Proxy: state of birth
MS,1980,stayer,678684.0,678.684,Proxy: state of birth
MT,1980,immigrant,448718.0,448.718,Proxy: state of birth
MT,1980,emigrant,137906.0,137.906,Proxy: state of birth
MT,1980,stayer,502276.0,502.276,Proxy: state of birth
