state,period,group,dimension,category,weighted_population,valid_dimension_population,percent
AC,1970,immigrant,age,5-14,2149.0,23652.0,9.08591239641468
AC,1970,immigrant,age,15-24,4032.0,23652.0,17.04718417047184
AC,1970,immigrant,age,25-34,4112.0,23652.0,17.385421951631997
AC,1970,immigrant,age,35-44,4736.0,23652.0,20.02367664468121
AC,1970,immigrant,age,45-54,3651.0,23652.0,15.4363267376966
AC,1970,immigrant,age,55-64,2394.0,23652.0,10.121765601217657
AC,1970,immigrant,age,65+,2578.0,23652.0,10.899712497886014
AC,1970,emigrant,age,5-14,4648.0,26944.0,17.25059382422803
AC,1970,emigrant,age,15-24,6499.0,26944.0,24.120397862232778
AC,1970,emigrant,age,25-34,4946.0,26944.0,18.356591448931116
AC,1970,emigrant,age,35-44,4144.0,26944.0,15.380047505938242
AC,1970,emigrant,age,45-54,3565.0,26944.0,13.231146080760094
AC,1970,emigrant,age,55-64,2160.0,26944.0,8.016627078384799
AC,1970,emigrant,age,65+,982.0,26944.0,3.6445961995249405
AC,1970,stayer,age,5-14,63513.0,149978.0,42.34821107095707
AC,1970,stayer,age,15-24,39292.0,149978.0,26.198509114670152
AC,1970,stayer,age,25-34,20540.0,149978.0,13.695341983490913
AC,1970,stayer,age,35-44,13719.0,149978.0,9.147341610102815
AC,1970,stayer,age,45-54,8104.0,149978.0,5.4034591740121884
AC,1970,stayer,age,55-64,3732.0,149978.0,2.4883649601941618
AC,1970,stayer,age,65+,1078.0,149978.0,0.7187720865726973
AL,1970,immigrant,age,5-14,20752.0,97018.0,21.389845183368035
AL,1970,immigrant,age,15-24,22719.0,97018.0,23.41730400544229
AL,1970,immigrant,age,25-34,17282.0,97018.0,17.813189305077408
AL,1970,immigrant,age,35-44,14250.0,97018.0,14.687996041971592
AL,1970,immigrant,age,45-54,10465.0,97018.0,10.786658145911067
AL,1970,immigrant,age,55-64,6863.0,97018.0,7.073945041126389
AL,1970,immigrant,age,65+,4687.0,97018.0,4.831062277103218
AL,1970,emigrant,age,5-14,32202.0,281536.0,11.437968856558308
AL,1970,emigrant,age,15-24,60463.0,281536.0,21.476116731075244
AL,1970,emigrant,age,25-34,62393.0,281536.0,22.16164185042055
AL,1970,emigrant,age,35-44,52242.0,281536.0,18.556063878154127
