census_year,origin_uf,destination_uf,migration_type,label,weighted_migrants
1970,AC,AC,local,Local / within-state,7544.0
1970,AC,AL,other,Other,8.0
1970,AC,AM,neighboring_state,Neighboring-state circulation,12493.0
1970,AC,AP,other,Other,114.0
1970,AC,BA,other,Other,161.0
1970,AC,CE,other,Other,1226.0
1970,AC,DF,brasilia_go_inflow,Long-distance inflow to DF/GO,180.0
1970,AC,ES,other,Other,18.0
1970,AC,GO,brasilia_go_inflow,Long-distance inflow to DF/GO,83.0
1970,AC,MA,other,Other,278.0
1970,AC,MG,other,Other,183.0
1970,AC,MT,other,Other,316.0
1970,AC,PA,other,Other,3029.0
1970,AC,PB,other,Other,102.0
1970,AC,PE,other,Other,171.0
1970,AC,PI,other,Other,433.0
1970,AC,PR,return_agri_frontier_to_south,Return: agricultural frontier -> South,178.0
1970,AC,RJ,other,Other,2910.0
1970,AC,RN,other,Other,103.0
1970,AC,RO,neighboring_state,Neighboring-state circulation,3961.0
1970,AC,RR,other,Other,58.0
1970,AC,RS,return_agri_frontier_to_south,Return: agricultural frontier -> South,23.0
1970,AC,SC,return_agri_frontier_to_south,Return: agricultural frontier -> South,17.0
1970,AC,SE,other,Other,4.0
1970,AC,SP,other,Other,895.0
1970,AL,AC,other,Other,77.0
1970,AL,AL,local,Local / within-state,191749.0
1970,AL,AM,other,Other,168.0
1970,AL,AP,other,Other,12.0
1970,AL,BA,neighboring_state,Neighboring-state circulation,13195.0
1970,AL,CE,other,Other,10250.0
1970,AL,DF,brasilia_go_inflow,Long-distance inflow to DF/GO,1537.0
1970,AL,ES,northeast_to_southeast,Northeast -> Southeast,1154.0
1970,AL,GO,brasilia_go_inflow,Long-distance inflow to DF/GO,774.0
1970,AL,MA,other,Other,812.0
1970,AL,MG,northeast_to_southeast,Northeast -> Southeast,1697.0
1970,AL,MT,other,Other,5330.0
1970,AL,PA,other,Other,305.0
1970,AL,PB,other,Other,1718.0
1970,AL,PE,neighboring_state,Neighboring-state circulation,51627.0
1970,AL,PI,other,Other,235.0
1970,AL,PR,other,Other,15313.0
1970,AL,RJ,northeast_to_southeast,Northeast -> Southeast,49155.0
1970,AL,RN,other,Other,505.0
1970,AL,RO,other,Other,210.0
1970,AL,RR,other,Other,21.0
1970,AL,RS,other,Other,217.0
1970,AL,SC,other,Other,150.0
1970,AL,SE,neighboring_state,Neighboring-state circulation,18654.0
1970,AL,SP,northeast_to_southeast,Northeast -> Southeast,108420.0
1970,AM,AC,neighboring_state,Neighboring-state circulation,8574.0
1970,AM,AL,other,Other,41.0
1970,AM,AM,local,Local / within-state,64707.0
1970,AM,AP,other,Other,240.0
1970,AM,BA,other,Other,372.0
1970,AM,CE,other,Other,3119.0
1970,AM,DF,brasilia_go_inflow,Long-distance inflow to DF/GO,583.0
1970,AM,ES,other,Other,77.0
1970,AM,GO,brasilia_go_inflow,Long-distance inflow to DF/GO,262.0
1970,AM,MA,other,Other,659.0
1970,AM,MG,other,Other,572.0
